ticker,x,y,sector
AAPL,159.32254,116.977455,Tech
BAC,167.8876,20.382835,Financials
CAT,115.79145,-216.9884,Industrials
CVX,-261.91275,57.731716,Energy
DAL,34.564667,150.99947,Industrials
GOOGL,75.58662,-119.6513,Tech
GS,152.85622,-71.68996,Financials
HAL,-197.32037,-23.682316,Energy
JNJ,-286.75653,-24.02615,Healthcare
JPM,102.53628,-14.719267,Financials
KO,-358.9883,-10.870187,Consumer
MCD,81.172424,213.64229,Consumer
META,-45.38339,185.84216,Tech
MMM,247.09181,-123.902115,Industrials
MSFT,-392.13916,-177.04147,Tech
NKE,-211.78574,-275.32608,Consumer
NVDA,280.1029,66.108734,Tech
PFE,199.52737,185.73582,Healthcare
UNH,692.60046,675.6113,Healthcare
XOM,-260.7186,-92.91791,Energy
